source_id,relation,target_id
softwareinstance:retinanet_paddlepaddle,HAS_GUIDE,guide:retinanetreadme
softwareinstance:rt-detr_pytorch,USES_FRAMEWORK,framework:pytorch
softwareinstance:wsld_pytorch,TRAINED_ON,dataset:imagenet
software:convnext,DEVELOPED_BY,author:facebookresearch
softwareinstance:resnet152_pytorch,CAN_DEPLOY_ON,deploymentconfig:bi-v100_ixucasdk220
software:yolov7,DEVELOPED_BY,author:wongkinyiu
software:bisenetv2,DEVELOPED_BY,author:coincheung
softwareinstance:pp-yoloe_paddlepaddle,CAN_DEPLOY_ON,deploymentconfig:bi-v100_ixucasdk230
softwareinstance:fpenet_pytorch,HAS_GUIDE,guide:fpenetreadme
softwareinstance:reppoints_mmdet_pytorch,INSTANCE_OF,software:reppoints_mmdet
softwareinstance:pp-ocr-db_paddlepaddle,TRAINED_ON,dataset:icdar2015
softwareinstance:pp_humansegv2_paddlepaddle,HAS_GUIDE,guide:pp_humansegv2readme
softwareinstance:contextnet_pytorch,USES_FRAMEWORK,framework:pytorch
softwareinstance:hardnet_pytorch,TRAINED_ON,dataset:coco
softwareinstance:ssd_pytorch,USES_FRAMEWORK,framework:pytorch
softwareinstance:repvit_pytorch,CAN_DEPLOY_ON,deploymentconfig:bi-v150_ixucasdk420
software:real_basicvsr,DEVELOPED_BY,author:open-mmlab
softwareinstance:qwen-7b_pytorch,INSTANCE_OF,software:qwen-7b
softwareinstance:deeplabv3_paddlepaddle,USES_FRAMEWORK,framework:paddlepaddle
softwareinstance:resnext50_32x4d_pytorch,INSTANCE_OF,software:resnext50_32x4d
softwareinstance:kan_pytorch,HAS_GUIDE,guide:kanreadme
softwareinstance:pointrcnn_iou_pytorch,INSTANCE_OF,software:pointrcnn_iou
softwareinstance:unet3d_pytorch,USES_FRAMEWORK,framework:pytorch
softwareinstance:bert_pytorch,HAS_GUIDE,guide:bertreadme
softwareinstance:aquila2-34b_pytorch,INSTANCE_OF,software:aquila2-34b
softwareinstance:yolov5_paddlepaddle,INSTANCE_OF,software:yolov5
software:deeplabv3,DEVELOPED_BY,author:abs
software:stdc,DEVELOPED_BY,author:en
softwareinstance:yolov9_pytorch,CAN_DEPLOY_ON,deploymentconfig:bi-v150_ixucasdk411
softwareinstance:second_pytorch,HAS_GUIDE,guide:secondreadme
softwareinstance:solov2_pytorch,CAN_DEPLOY_ON,deploymentconfig:bi-v100_ixucasdk310
software:llava-15,DEVELOPED_BY,author:haotian-liu
softwareinstance:waveglow_pytorch,TRAINED_ON,dataset:ljspeech
software:detr,DEVELOPED_BY,author:deepsparkcommunity
software:conformer,DEVELOPED_BY,author:deepsparkcommunity
softwareinstance:gat_paddlepaddle,INSTANCE_OF,software:gat
hardware:bi-v100,SUPPORTS_RUNTIME,runtime:ixucasdk300
softwareinstance:transformer_fairseq_pytorch,HAS_GUIDE,guide:transformer_fairseqreadme
softwareinstance:graphsage_paddlepaddle,INSTANCE_OF,software:graphsage
software:centernet,DEVELOPED_BY,author:xingyizhou
softwareinstance:shufflenetv2_paddlepaddle,CAN_DEPLOY_ON,deploymentconfig:bi-v100_ixucasdk310
softwareinstance:yolov9_pytorch,USES_FRAMEWORK,framework:pytorch
softwareinstance:eca_mobilenet_v2_pytorch,CAN_DEPLOY_ON,deploymentconfig:bi-v150_ixucasdk420
softwareinstance:wide_deep_paddlepaddle,INSTANCE_OF,software:wide_deep
softwareinstance:qwen-7b_pytorch,CAN_DEPLOY_ON,deploymentconfig:bi-v150_ixucasdk340
software:crnn,DEVELOPED_BY,author:mindspore
softwareinstance:point-bert_pytorch,HAS_GUIDE,guide:point-bertreadme
softwareinstance:seresnext_pytorch,TRAINED_ON,dataset:imagenet
softwareinstance:pp_humansegv1_paddlepaddle,CAN_DEPLOY_ON,deploymentconfig:bi-v100_ixucasdk310
softwareinstance:repvgg_pytorch,CAN_DEPLOY_ON,deploymentconfig:bi-v150_ixucasdk420
softwareinstance:wide_deep_paddlepaddle,CAN_DEPLOY_ON,deploymentconfig:bi-v100_ixucasdk230
software:wide_resnet101_2,DEVELOPED_BY,author:pytorch
