source_id,relation,target_id
API:CUSPARSE_HYB_PARTITION_USER,MAPS_TO,API:HIPSPARSE_HYB_PARTITION_USER
API:CUSPARSE_INDEX_BASE_ONE,MAPS_TO,API:HIPSPARSE_INDEX_BASE_ONE
API:CUSPARSE_INDEX_BASE_ZERO,MAPS_TO,API:HIPSPARSE_INDEX_BASE_ZERO
API:CUSPARSE_MATRIX_TYPE_GENERAL,MAPS_TO,API:HIPSPARSE_MATRIX_TYPE_GENERAL
API:CUSPARSE_MATRIX_TYPE_HERMITIAN,MAPS_TO,API:HIPSPARSE_MATRIX_TYPE_HERMITIAN
API:CUSPARSE_MATRIX_TYPE_SYMMETRIC,MAPS_TO,API:HIPSPARSE_MATRIX_TYPE_SYMMETRIC
API:CUSPARSE_MATRIX_TYPE_TRIANGULAR,MAPS_TO,API:HIPSPARSE_MATRIX_TYPE_TRIANGULAR
API:CUSPARSE_OPERATION_CONJUGATE_TRANSPOSE,MAPS_TO,API:HIPSPARSE_OPERATION_CONJUGATE_TRANSPOSE
API:CUSPARSE_OPERATION_NON_TRANSPOSE,MAPS_TO,API:HIPSPARSE_OPERATION_NON_TRANSPOSE
API:CUSPARSE_OPERATION_TRANSPOSE,MAPS_TO,API:HIPSPARSE_OPERATION_TRANSPOSE
API:CUSPARSE_POINTER_MODE_DEVICE,MAPS_TO,API:HIPSPARSE_POINTER_MODE_DEVICE
API:CUSPARSE_POINTER_MODE_HOST,MAPS_TO,API:HIPSPARSE_POINTER_MODE_HOST
API:CUSPARSE_SOLVE_POLICY_NO_LEVEL,MAPS_TO,API:HIPSPARSE_SOLVE_POLICY_NO_LEVEL
API:CUSPARSE_STATUS_ALLOC_FAILED,MAPS_TO,API:HIPSPARSE_STATUS_ALLOC_FAILED
API:CUSPARSE_STATUS_ARCH_MISMATCH,MAPS_TO,API:HIPSPARSE_STATUS_ARCH_MISMATCH
API:CUSPARSE_STATUS_EXECUTION_FAILED,MAPS_TO,API:HIPSPARSE_STATUS_EXECUTION_FAILED
API:CUSPARSE_STATUS_INTERNAL_ERROR,MAPS_TO,API:HIPSPARSE_STATUS_INTERNAL_ERROR
API:CUSPARSE_STATUS_INVALID_VALUE,MAPS_TO,API:HIPSPARSE_STATUS_INVALID_VALUE
API:CUSPARSE_STATUS_MAPPING_ERROR,MAPS_TO,API:HIPSPARSE_STATUS_MAPPING_ERROR
API:CUSPARSE_STATUS_MATRIX_TYPE_NOT_SUPPORTED,MAPS_TO,API:HIPSPARSE_STATUS_MATRIX_TYPE_NOT_SUPPORTED
API:CUSPARSE_STATUS_NOT_INITIALIZED,MAPS_TO,API:HIPSPARSE_STATUS_NOT_INITIALIZED
API:CUSPARSE_STATUS_SUCCESS,MAPS_TO,API:HIPSPARSE_STATUS_SUCCESS
API:CUSPARSE_STATUS_ZERO_PIVOTstructtypedefstructtypedefstruct,MAPS_TO,API:HIPSPARSE_STATUS_ZERO_PIVOTcusparseContextcusparseHandle_tcusparseHybMatcusparseHybMat_tcusparseMatDescr
API:__bitextract_u32__bitextract_u64,MAPS_TO,API:__hip_ds_bpermutef__hip_ds_permute
API:__bitinsert_u32,MAPS_TO,API:__hip_ds_permutef
API:__bitinsert_u64,MAPS_TO,API:__hip_ds_swizzle_N
API:__byte_perm__hadd__mul24__mul64hi__mulhi__rhadd,MAPS_TO,API:__hip_ds_swizzlef_N__hip_move_dpp_N__shfl__shfl_up__shfl_down__shfl_xor
API:__lastbit_u32_u64,MAPS_TO,API:__hip_ds_bpermute
API:__sad,MAPS_TO,API:__double2float_rd
API:__uhadd,MAPS_TO,API:__double2float_rn
API:__umul24,MAPS_TO,API:__double2float_ru
API:__umul64hi__umulhi__urhadd__usad__byte_perm__hadd__mul24mul24__mul64himul64hi__mulhimulhi__rhadd__sad__uhadd__umul24umul24__umul64himul64hiumul64higlongumul64himul64hi__halfatomicCASatomicCAS_systematomicAddatomicAdd_systematomicAddNoRetatomicSubatomicSub_systematomicExch,MAPS_TO,API:__double2float_rz__double2hiint__double2loint__double2int_rd__double2int_rn__double2int_ru__double2int_rz__double2ll_rd__double2ll_rn__double2ll_ru__double2ll_rz__double2uint_rd__double2uint_rn__double2uint_ru__double2uint_rz__double2ull_rd__double2ull_rn__double2ull_ru__double2ull_rz__double_as_lon__float2half_rn__half2float__ull2double_ruatomicMinatomicMin_systematomicOratomicOr_systematomicXoratomicXor_systematomicIncatomicDec
API:atomicExch_systematomicAnd_system,MAPS_TO,API:atomicAnd
API:cub::ArgIndexInputIterator,MAPS_TO,API:hipcub::ArgIndexInputIterator
API:cub::BlockDiscontinuity::FlagHeads,MAPS_TO,API:hipcub::BlockDiscontinuity::FlagHeads
API:cub::BlockDiscontinuity::FlagHeadsAndTails,MAPS_TO,API:hipcub::BlockDiscontinuity::FlagHeadsAndTails
API:cub::BlockDiscontinuity::FlagTails,MAPS_TO,API:hipcub::BlockDiscontinuity::FlagTails
API:cub::BlockExchange,MAPS_TO,API:hipcub::BlockExchange
API:cub::BlockExchange::BlockedToStriped,MAPS_TO,API:hipcub::BlockExchange::BlockedToStriped
API:cub::BlockExchange::BlockedToWarpStriped,MAPS_TO,API:hipcub::BlockExchange::BlockedToWarpStriped
API:cub::BlockExchange::ScatterToBlocked,MAPS_TO,API:hipcub::BlockExchange::ScatterToBlocked
API:cub::BlockExchange::ScatterToStriped,MAPS_TO,API:hipcub::BlockExchange::ScatterToStriped
API:cub::BlockExchange::ScatterToStripedFlagged,MAPS_TO,API:hipcub::BlockExchange::ScatterToStripedFlagged
API:cub::BlockExchange::ScatterToStripedGuarded,MAPS_TO,API:hipcub::BlockExchange::ScatterToStripedGuarded
API:cub::BlockExchange::StripedToBlocked,MAPS_TO,API:hipcub::BlockExchange::StripedToBlocked
API:cub::BlockExchange::TempStorage,MAPS_TO,API:hipcub::BlockExchange::TempStorage
API:cub::BlockExchange::WarpStripedToBlocked,MAPS_TO,API:hipcub::BlockExchange::WarpStripedToBlocked
API:cub::BlockHistogram,MAPS_TO,API:hipcub::BlockHistogram
API:cub::BlockHistogram::Composite,MAPS_TO,API:hipcub::BlockHistogram::Composite
API:cub::BlockHistogram::Histogram,MAPS_TO,API:hipcub::BlockHistogram::Histogram
API:cub::BlockHistogram::InitHistogram,MAPS_TO,API:hipcub::BlockHistogram::InitHistogram
API:cub::BlockHistogram::TempStorage,MAPS_TO,API:hipcub::BlockHistogram::TempStorage
API:cub::BlockLoad,MAPS_TO,API:hipcub::BlockLoad
API:cub::BlockLoad::Load,MAPS_TO,API:hipcub::BlockLoad::Load
API:cub::BlockLoad::TempStorage,MAPS_TO,API:hipcub::BlockLoad::TempStorage
API:cub::BlockMergeSort,MAPS_TO,API:hipcub::BlockMergeSort
API:cub::BlockRadixSort,MAPS_TO,API:hipcub::BlockRadixSort
API:cub::BlockRadixSort::Sort,MAPS_TO,API:hipcub::BlockRadixSort::Sort
API:cub::BlockRadixSort::SortBlockedToStriped,MAPS_TO,API:hipcub::BlockRadixSort::SortBlockedToStriped
API:cub::BlockRadixSort::SortDescending,MAPS_TO,API:hipcub::BlockRadixSort::SortDescending
API:cub::BlockRadixSort::SortDescendingBlockedToStriped,MAPS_TO,API:hipcub::BlockRadixSort::SortDescendingBlockedToStriped
API:cub::BlockRadixSort::TempStorage,MAPS_TO,API:hipcub::BlockRadixSort::TempStorage
API:cub::BlockReduce,MAPS_TO,API:hipcub::BlockReduce
API:cub::BlockReduce::Reduce,MAPS_TO,API:hipcub::BlockReduce::Reduce
API:cub::BlockReduce::Sum,MAPS_TO,API:hipcub::BlockReduce::Sum
API:cub::BlockReduce::TempStorage,MAPS_TO,API:hipcub::BlockReduce::TempStorage
API:cub::BlockScan,MAPS_TO,API:hipcub::BlockScan
API:cub::BlockScan::ExclusiveScan,MAPS_TO,API:hipcub::BlockScan::ExclusiveScan
API:cub::BlockScan::ExclusiveSum,MAPS_TO,API:hipcub::BlockScan::ExclusiveSum
API:cub::BlockScan::InclusiveScan,MAPS_TO,API:hipcub::BlockScan::InclusiveScan
API:cub::BlockScan::InclusiveSum,MAPS_TO,API:hipcub::BlockScan::InclusiveSum
API:cub::BlockScan::TempStorage,MAPS_TO,API:hipcub::BlockScan::TempStorage
API:cub::BlockShuffle,MAPS_TO,API:hipcub::BlockShuffle
API:cub::BlockShuffle::Down,MAPS_TO,API:hipcub::BlockShuffle::Down
API:cub::BlockShuffle::Offset,MAPS_TO,API:hipcub::BlockShuffle::Offset
API:cub::BlockShuffle::Rotate,MAPS_TO,API:hipcub::BlockShuffle::Rotate
API:cub::BlockShuffle::TempStoragee,MAPS_TO,API:hipcub::BlockShuffle::TempStorag
API:cub::BlockShuffle::Up,MAPS_TO,API:hipcub::BlockShuffle::Up
API:cub::BlockStore,MAPS_TO,API:hipcub::BlockStore
API:cub::BlockStore::Store,MAPS_TO,API:hipcub::BlockStore::Store
API:cub::BlockStore::TempStorage,MAPS_TO,API:hipcub::BlockStore::TempStorage
